Nr.,author,gender,Lebensjahre,title,tokens,file,Quelle,Anm. zum Erstdruck,date,Text kanonisiert,Autor:in kanonisiert,Epochenzugehärigkeit Text,Epochenzugehärigkeit Autor:in
15,Jean Paul,m,1763 - 1825,"Siebenkäs – Blumen-, Frucht- und Dornenstücke",209547,Paul_Jean_Blumen-_Frucht-_und_Dornenstuecke,"Jean Paul: Werke. Herausgegeben von Norbert Miller und Gustav Lohmann, Band 1-6, München: Hanser, 1959-1963.",Erstdruck: Berlin 1796/97. (3 Bde.),1797,ja,ja,Romantik (Lesebuch),Romantik (Romantik-Handbuch)
16,Jean Paul,m,1763 - 1825,Flegeljahre,189944,Paul_Jean_Flegeljahre,"Jean Paul: Werke. Herausgegeben von Norbert Miller und Gustav Lohmann, Band 1-6, München: Hanser, 1959-1963.",Erstdruck: Tübingen 1804/05 (4 Bde).,1805,ja,ja,Romantik (kindler),Romantik (Romantik-Handbuch)
14,Jean Paul,m,1763 - 1825,Hesperus oder 45 Hundposttage,292713,Paul_Jean_Hesperus_oder_45_Hundsposttage,"Jean Paul: Werke. Herausgegeben von Norbert Miller und Gustav Lohmann, Band 1-6, München: Hanser, 1959-1963.",Erstdruck: Berlin 1795. (3 Bde.),1795,ja,ja,Romantik (Prosa der Romantik),Romantik (Romantik-Handbuch)
21,"Schlegel, Dorothea",f,1763-1839,Florentin,68660,Schlegel_Dorothea_Florentin,"Dorothea Schlegel: Florentin. Roman. Fragmente. Varianten. Herausgegeben und mit einem Nachwort versehen von Liliane Weissberg, Berlin: Ullstein, 1987.","Erstdruck (anonym), herausgegeben von Friedrich Schlegel: Lübeck (Bohn) 1801. Die geplante Fortsetzung ist nicht erschienen und wurde wohl auch nicht geschrieben.",1801,ja,ja,Frühromantik (kindler),Romantik (kindler)
22,"Schlegel, Friedrich",m,1772 - 1829,Lucinde,34192,Schlegel_Friedrich_Lucinde,"Kritische Friedrich-Schlegel-Ausgabe. Herausgegeben von Ernst Behler unter Mitwirkung von Jean-Jacques Anstett und Hans Eichner. Erste Abteilung: Kritische Neuausgabe, Band 5, München, Paderborn, Wien: Schäningh; Zürich: Thomas, 1962.",Erstdruck: Berlin (Heinrich Fröhlich) 1799.,1799,ja,ja,Romantik (Romantik-Handbuch),Romantik (kindler)
24,"Tieck, Ludwig",m,1773-1853,Franz Sternbalds Wanderungen,122590,Tieck_Ludwig_Franz_Sternbalds_Wanderungen,"Ludwig Tieck: Werke in vier Bänden. Nach dem Text der Schriften von 1828-1854, unter Berücksichtigung der Erstdrucke. Herausgegeben von Marianne Thalmann, Band 1-4, München: Winkler, 1963.",Erstdruck: Berlin (Unger) 1798. Hier in der Fassung von 1843.,1798,ja,ja,Romantik (Romantik-Handbuch),Romantik (kindler)
23,"Tieck, Ludwig",m,1773-1853,William Lovell,189688,Tieck_Ludwig_Geschichte_des_Herrn_William_Lovell,"Ludwig Tieck: Werke in vier Bänden. Nach dem Text der Schriften von 1828-1854, unter Berücksichtigung der Erstdrucke. Herausgegeben von Marianne Thalmann, Band 1-4, München: Winkler, 1963.","Erstdruck unter dem Titel: Geschichte des Herrn William Lovell, Berlin und Leipzig (Nicolai) 1795/96 (anonym). Hier in der Fassung von 1828.",1796,"ja unter ""Die Geschichte des Herrn William Lovell""",ja,Romantik (Romantik-Handbuch),Romantik (kindler)
25,"Vulpius, Christian August",m,1762 - 1827,Rinaldo Rinaldini der Räuberhauptmann,175690,"Vulpius_Christian_August_Rinaldo_Rinaldini,_der_Raeuberhauptmann","Christian August Vulpius: Rinaldo Rinaldini, der Räuberhauptmann. Romantische Geschichte. Mit Illustrationen. Herausgegeben und mit einem Nachwort versehen von Karl Riha. Der Text folgt der fünften neu von Christian August Vulpius bearbeiteten Ausgabe aus dem Jahre 1824, Frankfurt am Main: Insel, 1980.",Erstdruck: Leipzig (Gräff) 1799. Der vorliegende Text folgt der von Christian August Vulpius selbst bearbeiteten 5. Auflage.,1799,ja,ja,Romantik (kindler),-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
